Task Name,Parent Task,Total Duration (hours)
"Illustrated diary 🎨📅🖍","Art 🎨","989.99583"
"Family ❤️👧🏽👵🙍🏽‍♂️🌈","Love ❤️ & COnNecTiON ","474.03639"
"⌨️4️⃣📆🖊","Art 🎨","357.7325"
"ReTREAT ☕️🙏🏾❤️🦄😂","","203.01056"
"Tv💉📺","","167.53167"
"Yoga 🧘🏾‍♂️ 🤸🏽‍♀️🐱🐄","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","159.54056"
"SPANISH STUDY 👨🏽‍🌾💃🏽🦅🦋🐞🦜🔥🤸🏽‍♀️🔍","","153.9275"
"Travel                                                🧳🚕🚄✈️","","127.72167"
"Social 🎅🏿2👱‍♀️","Love ❤️ & COnNecTiON ","120.33528"
"Callisthenics 🦋🏋🏾🤸🏾‍♂️","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","118.61417"
"Admin","","118.1775"
"QUEST MED ♈️👁🔥🗻🧘🏾‍♂️","Meditation  🙏🏾👁🌀🕯💎","114.02806"
"Vacation time🛩🏝🏔🌈🕺🏽🦄","","110.7125"
"VISION QUEST 👁🔍🦅⚡️🌈🔥","🦋⚡️🔥SpiRituaL wOrK❤️👁🌈","106.5"
"MEMORY CRAFT","","104.40556"
"Reading 👁📖💡","","97.69167"
"JOURNOLOGY 🤩🦋🎁🔍🐞😝🙄🤯","","96.99222"
"Podcast 📻📡🎧","","83.355"
"Food 🍱🍲🍜🌯","","82.24861"
"Info organising  🔎📝🧠","MEMORY CRAFT","80.98278"
"Dance 💃🏻 ","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","77.84028"
"RedZebra work","Job🛠🎼🏋🏾💸","57.59833"
"Sesh 🎉🥂🍸","Love ❤️ & COnNecTiON ","55.01167"
"RZ design 🔺🦓🖋 lead up","RedZebra work","53.8"
"🧠🧠🧠🎇THINK 🎆TANK ka","","53.20361"
"Housework🏦🕌🗑⚒","","52.56444"
"Messaging 👉🏾📱📡","Love ❤️ & COnNecTiON ","52.39361"
"In between                                         ➡️📊⬅️","","51.37167"
"Poetry 🦋✨📝","Book / writing 📖🖊🔥🌈","51.36778"
"Quest preparation  📝👁🔥🗻","🦋⚡️🔥SpiRituaL wOrK❤️👁🌈","47.81667"
"WEB 🖥📡🌍","","46.5775"
"Morning Pages 🌄📝🦄","Book / writing 📖🖊🔥🌈","46.13444"
"Audiobook 🎧📕👁","Reading 👁📖💡","44.7025"
"✨Synchr💜👁🔮👁💜onicity✨","","43.82556"
"❄️WimHof🌬🏋🏾🦋","","43.71694"
"Quest Ceremony 👁🔥🗻🦅☕️","🦋⚡️🔥SpiRituaL wOrK❤️👁🌈","42.0"
"(Un)Packing","Travel                                                🧳🚕🚄✈️","40.16333"
"Nap 🛌💤🌀","Break 🏝🔋⏳","38.03278"
"Service 🎁⏩🌍","","37.88167"
"Marketing 📲🌎📤💸 ","Job🛠🎼🏋🏾💸","37.61667"
"Research","Study🖥📚🖊💡","36.54222"
"Calls❤️✨","Love ❤️ & COnNecTiON ","33.645"
"Audio lesson🎧👨🏽‍🎓📝","SPANISH STUDY 👨🏽‍🌾💃🏽🦅🦋🐞🦜🔥🤸🏽‍♀️🔍","33.415"
"MODULAR 🦋🎭🎶👁🔮🧩🌀🧞‍♂️","","33.24194"
"Tv 📺 with others","Love ❤️ & COnNecTiON ","30.68722"
"Voice training 🎤🏋🏽","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","30.06556"
"Kundalini yoga 🤸🏾‍♂️🐍🔥","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","29.98806"
"Loopy🎤🎧🕓🕘 ","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","28.59917"
"Meditation  🙏🏾👁🌀🕯💎","","28.57861"
"SSS 💩💦✂️ ","","28.52778"
"Chatting Spanish 🗣🇪🇸 ","SPANISH STUDY 👨🏽‍🌾💃🏽🦅🦋🐞🦜🔥🤸🏽‍♀️🔍","26.93917"
"Walking 🚶🏼‍♀️🚶🏽‍♀️🚶🏿‍♂️","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","26.88417"
"Road trip/ travel connect❤️🚗🌅","Love ❤️ & COnNecTiON ","25.24139"
"🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️🏃🏾‍♂️","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","24.24361"
"Percussion gig 💸🖐🏾🤚🏾🎼","Job🛠🎼🏋🏾💸","23.61444"
"Core strengthening  🍎🏋🏾","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","23.46694"
"Browsing","WEB 🖥📡🌍","23.23"
"Diary review 👁📓🎨","Art 🎨","20.28833"
"Familia 🥰🔥❤️👨‍👩‍👧‍👧","Love ❤️ & COnNecTiON ","19.20528"
"Study🖥📚🖊💡","","17.48833"
"Cycle 🚲🚴🏾‍♀️🚴🏾","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","17.21667"
"Piano practice 🎹 ","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","16.06972"
" Art Study /practice🎨👁📖🖌","Art 🎨","15.95639"
"Song learning  🇪🇸🎶🎤","SPANISH STUDY 👨🏽‍🌾💃🏽🦅🦋🐞🦜🔥🤸🏽‍♀️🔍","15.47528"
"W😍W moMents ❤️🦄","Love ❤️ & COnNecTiON ","14.32028"
"Social media 📲🍷🍸","WEB 🖥📡🌍","12.7125"
"Rap practice. 🎤😎🔥","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","11.30722"
"mAGiC🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️⚡️🎁🌈","","11.29194"
"💤👁🌀","Meditation  🙏🏾👁🌀🕯💎","11.23472"
"Take it in ✨🔥🙌🏾👁👂🏽👃🏽","","11.22333"
"Ridic jokes 🤣🦄🦋😜","","10.48444"
"House time 🏡 🕰","Love ❤️ & COnNecTiON ","9.39389"
"The ArTs 🎭 🖼✨","","9.25194"
"SCENAR📲🌀🙌🏾","Health🌱🥑🔥","8.88833"
"TED TALKS","Study🖥📚🖊💡","8.80833"
"Research and planning 🖼🔭🗂","Art 🎨","8.125"
"Shopping 💸🛍🛒","","7.8225"
"🔺🦓 💕 Work social connect","RedZebra work","7.77389"
"Art piece","Art 🎨","7.26333"
