Task Name,Parent Task,Total Duration (hours)
"Art 🎨","","1408.64778"
"Love ❤️ & COnNecTiON ","","840.95278"
"Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","","488.4825"
"SPANISH STUDY 👨🏽‍🌾💃🏽🦅🦋🐞🦜🔥🤸🏽‍♀️🔍","","236.07722"
"ReTREAT ☕️🙏🏾❤️🦄😂","","203.01056"
"🦋⚡️🔥SpiRituaL wOrK❤️👁🌈","","196.61444"
"Job🛠🎼🏋🏾💸","","191.19306"
"MEMORY CRAFT","","185.38833"
"Travel                                                🧳🚕🚄✈️","","170.44972"
"Meditation  🙏🏾👁🌀🕯💎","","170.32972"
"Tv💉📺","","167.53167"
"Reading 👁📖💡","","142.39417"
"Admin","","118.1775"
"Vacation time🛩🏝🏔🌈🕺🏽🦄","","110.7125"
"Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","","103.45861"
"Book / writing 📖🖊🔥🌈","","97.68167"
"JOURNOLOGY 🤩🦋🎁🔍🐞😝🙄🤯","","96.99222"
"Podcast 📻📡🎧","","83.355"
"Food 🍱🍲🍜🌯","","82.94556"
"WEB 🖥📡🌍","","82.52"
"Study🖥📚🖊💡","","69.39917"
"In between                                         ➡️📊⬅️","","53.91194"
"🧠🧠🧠🎇THINK 🎆TANK ka","","53.20361"
"Housework🏦🕌🗑⚒","","52.56444"
"✨Synchr💜👁🔮👁💜onicity✨","","43.82556"
"❄️WimHof🌬🏋🏾🦋","","43.71694"
"Break 🏝🔋⏳","","43.58472"
"Service 🎁⏩🌍","","37.88167"
"MODULAR 🦋🎭🎶👁🔮🧩🌀🧞‍♂️","","33.24194"
"SSS 💩💦✂️ ","","28.52778"
"Health🌱🥑🔥","","21.46083"
"Take it in ✨🔥🙌🏾👁👂🏽👃🏽","","21.445"
"Shopping 💸🛍🛒","","16.51306"
"mAGiC🧞‍♂️🧞‍♂️🧞‍♂️🧞‍♂️⚡️🎁🌈","","11.29194"
"Ridic jokes 🤣🦄🦋😜","","10.48444"
"The ArTs 🎭 🖼✨","","9.25194"
"ADVENTURE 🦋🧐🧞‍♂️🗻👣","","7.0"
"Fun  🤣😂🌈😜🤡👻😹💩🎅🏿","","5.7175"
"👁📖🌬🃏🌀💡","","2.42083"
"Meeting","","0.88333"
"House clean art❤️🕌🏡🌈","","0.455"
"Proposal👁💡💸🔥🌈⚡️⛈🌬☔️🌅🌠🏦","","0.00306"
"OTBT 🌍🛫⛵️🏝🎼🥁💃🏻🌈","","0.00222"
