Task Name,Start Date,Start Time,End Date,End Time,Duration (hours),Comment,Parent Task
"Tv 📺 with others","13/08/2024","00:00:00","13/08/2024","00:23:02","0.38389","","Love ❤️ & COnNecTiON "
"Tv💉📺","13/08/2024","00:23:02","13/08/2024","02:24:02","2.01667","",""
"MEMORY CRAFT","13/08/2024","11:36:00","13/08/2024","11:52:20","0.27222","",""
"Podcast 📻📡🎧","13/08/2024","11:52:20","13/08/2024","12:03:20","0.18333","",""
"Housework🏦🕌🗑⚒","13/08/2024","12:03:20","13/08/2024","12:32:55","0.49306","",""
"Poetry 🦋✨📝","13/08/2024","12:32:55","13/08/2024","12:35:17","0.03944","","Book / writing 📖🖊🔥🌈"
"Morning Pages 🌄📝🦄","13/08/2024","12:35:17","13/08/2024","13:06:17","0.51667","","Book / writing 📖🖊🔥🌈"
"In between                                         ➡️📊⬅️","13/08/2024","13:06:17","13/08/2024","13:13:03","0.11278","",""
"Stretching 🤸🏽‍♀️🤸🏽‍♀️","13/08/2024","13:13:03","13/08/2024","13:21:49","0.14611","","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽"
"RESISTANCE TRAINING 🏋🏾‍♀️🏋🏾‍♀️🏋️‍♂️","13/08/2024","13:21:49","13/08/2024","13:42:38","0.34694","","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽"
"Illustrated diary 🎨📅🖍","13/08/2024","13:42:38","13/08/2024","16:05:44","2.385","","Art 🎨"
"Job admin ⚙️📥🗓💸🤚🏾✋🏾🥁","13/08/2024","16:05:44","13/08/2024","16:25:44","0.33333","","Percussion gig 💸🖐🏾🤚🏾🎼"
"Illustrated diary 🎨📅🖍","13/08/2024","16:25:44","13/08/2024","17:53:44","1.46667","","Art 🎨"
"In between                                         ➡️📊⬅️","13/08/2024","17:53:44","13/08/2024","17:58:01","0.07139","",""
"⌨️4️⃣📆🖊","13/08/2024","17:58:01","13/08/2024","18:38:27","0.67389","","Art 🎨"
"In between                                         ➡️📊⬅️","13/08/2024","18:38:27","13/08/2024","18:48:11","0.16222","",""
"ATG TRAINING🧎🏾👆🏾🦶","13/08/2024","18:48:11","13/08/2024","19:58:25","1.17056","","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽"
"MEMORY CRAFT","13/08/2024","19:58:27","13/08/2024","20:15:32","0.28472","",""
"Food 🍱🍲🍜🌯","13/08/2024","20:15:32","13/08/2024","22:04:00","1.80778","",""
"Tv 📺 with others","13/08/2024","22:04:00","13/08/2024","22:54:00","0.83333","","Love ❤️ & COnNecTiON "
"Housework🏦🕌🗑⚒","13/08/2024","22:54:00","13/08/2024","23:16:00","0.36667","",""
"MEMORY CRAFT","13/08/2024","23:16:00","13/08/2024","23:43:00","0.45","",""
"Housework🏦🕌🗑⚒","13/08/2024","23:43:00","14/08/2024","00:00:00","0.28333","",""
